"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
101,97,"GIN","Guinea",4,"Kankan",12,"Kankan",101,"Moribayah","Sub-prefecture","Sub-prefecture",NA,NA
102,97,"GIN","Guinea",4,"Kankan",12,"Kankan",102,"Sabadou-Baranama","Sub-prefecture","Sub-prefecture",NA,NA
103,97,"GIN","Guinea",4,"Kankan",12,"Kankan",103,"Tinti-Oulen","Sub-prefecture","Sub-prefecture",NA,NA
104,97,"GIN","Guinea",4,"Kankan",12,"Kankan",104,"Tokounou","Sub-prefecture","Sub-prefecture",NA,NA
105,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa",105,"Babila","Sub-prefecture","Sub-prefecture",NA,NA
106,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa",106,"Balato","Sub-prefecture","Sub-prefecture",NA,NA
107,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa",107,"Banfélé","Sub-prefecture","Sub-prefecture",NA,NA
108,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa",108,"Baro","Sub-prefecture","Sub-prefecture",NA,NA
109,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa",109,"Cisséla","Sub-prefecture","Sub-prefecture",NA,NA
110,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa",110,"Douako","Sub-prefecture","Sub-prefecture",NA,NA
111,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa",111,"Doura","Sub-prefecture","Sub-prefecture",NA,NA
112,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa",112,"Kiniéro","Sub-prefecture","Sub-prefecture",NA,NA
113,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa",113,"Komola-Khoura","Sub-prefecture","Sub-prefecture",NA,NA
114,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa",114,"Koumana","Sub-prefecture","Sub-prefecture",NA,NA
115,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa",115,"Kouroussa-Centre","Sub-prefecture","Sub-prefecture",NA,NA
116,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa",116,"Sanguiana","Sub-prefecture","Sub-prefecture",NA,NA
